Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,140,0,667,207,0,0,0,0,0,0,0,0.31,0.313,0.41,0.311
Orioles,285.2,0,1245,336,0,0,0,0,0,0,0,0.27,0.271,0.35,0.269
Red Sox,215.1,0,958,274,0,0,0,0,0,0,0,0.286,0.288,0.387,0.288
White Sox,58,0,307,112,0,0,0,0,0,0,0,0.365,0.367,0.469,0.355
Indians,254.1,0,1141,324,0,0,0,0,0,0,0,0.284,0.285,0.369,0.281
Tigers,103.2,0,498,162,0,0,0,0,0,0,0,0.325,0.328,0.44,0.322
Royals,191.2,0,894,276,0,0,0,0,0,0,0,0.309,0.309,0.402,0.305
Twins,71.2,0,371,128,0,0,0,0,0,0,0,0.345,0.351,0.459,0.341
Yankees,179,0,813,249,0,0,0,0,0,0,0,0.306,0.309,0.402,0.306
Athletics,188.1,0,829,233,0,0,0,0,0,0,0,0.281,0.283,0.36,0.276
Mariners,156.2,0,754,240,1,0,0,0,0,0,0,0.318,0.319,0.401,0.308
Rays,371.2,0,1591,411,0,0,0,0,0,0,0,0.258,0.259,0.333,0.255
Rangers,156,0,716,218,0,0,0,0,0,0,0,0.304,0.305,0.388,0.297
Blue Jays,231.2,0,1045,301,0,0,0,0,0,0,0,0.288,0.289,0.388,0.29
Diamondbacks,90.1,0,415,123,0,0,0,0,0,0,0,0.296,0.3,0.391,0.292
Braves,104,0,490,143,0,0,0,0,0,0,0,0.292,0.295,0.376,0.29
Cubs,187,0,852,241,0,0,0,0,0,0,0,0.283,0.289,0.393,0.291
Reds,125,0,546,148,0,0,0,0,0,0,0,0.271,0.274,0.344,0.265
Rockies,85,0,460,163,0,0,0,0,0,0,0,0.354,0.365,0.486,0.359
Marlins,117.1,0,576,188,0,0,0,0,0,0,0,0.326,0.333,0.443,0.33
Astros,180.2,0,855,265,0,0,0,0,0,0,0,0.31,0.313,0.424,0.315
Dodgers,73,0,353,106,0,0,0,0,0,0,0,0.3,0.312,0.4,0.3
Brewers,250.1,0,1186,377,0,0,0,0,0,0,0,0.318,0.32,0.391,0.308
Nationals,70.2,0,328,87,0,0,0,0,0,0,0,0.265,0.276,0.361,0.271
Mets,175.1,0,806,230,0,0,0,0,0,0,0,0.285,0.29,0.372,0.283
Phillies,47.1,0,258,90,0,0,0,0,0,0,0,0.349,0.36,0.459,0.351
Pirates,196,0,871,239,0,0,0,0,0,0,0,0.274,0.278,0.35,0.27
Cardinals,87,0,412,117,0,0,0,0,0,0,0,0.284,0.293,0.381,0.286
Padres,92.2,0,426,124,0,0,0,0,0,0,0,0.291,0.301,0.389,0.296
Giants,91.2,0,446,135,0,0,0,0,0,0,0,0.303,0.313,0.417,0.311
