,,
yearID,Team,TBF
2010,Angels,127
2010,Orioles,183
2010,Red Sox,135
2010,White Sox,88
2010,Indians,172
2010,Tigers,67
2010,Royals,85
2010,Twins,63
2010,Yankees,94
2010,Athletics,78
2010,Mariners,105
2010,Rays,261
2010,Rangers,107
2010,Blue Jays,142
2010,Diamondbacks,106
2010,Braves,117
2010,Cubs,87
2010,Reds,72
2010,Rockies,92
2010,Marlins,159
2010,Astros,86
2010,Dodgers,106
2010,Brewers,59
2010,Nationals,93
2010,Mets,207
2010,Phillies,62
2010,Pirates,129
2010,Cardinals,74
2010,Padres,80
2010,Giants,87
2011,Angels,108
2011,Orioles,104
2011,Red Sox,80
2011,White Sox,71
2011,Indians,192
2011,Tigers,93
2011,Royals,117
2011,Twins,63
2011,Yankees,95
2011,Athletics,117
2011,Mariners,86
2011,Rays,271
2011,Rangers,108
2011,Blue Jays,170
2011,Diamondbacks,38
2011,Braves,114
2011,Cubs,72
2011,Reds,85
2011,Rockies,84
2011,Marlins,77
2011,Astros,74
2011,Dodgers,57
2011,Brewers,209
2011,Nationals,80
2011,Mets,129
2011,Phillies,20
2011,Pirates,114
2011,Cardinals,71
2011,Padres,87
2011,Giants,79
2012,Angels,159
2012,Orioles,403
2012,Red Sox,240
2012,White Sox,46
2012,Indians,469
2012,Tigers,150
2012,Royals,282
2012,Twins,108
2012,Yankees,170
2012,Athletics,322
2012,Mariners,244
2012,Rays,517
2012,Rangers,168
2012,Blue Jays,481
2012,Diamondbacks,84
2012,Braves,102
2012,Cubs,233
2012,Reds,107
2012,Rockies,107
2012,Marlins,154
2012,Astros,206
2012,Dodgers,96
2012,Brewers,367
2012,Nationals,80
2012,Mets,271
2012,Phillies,80
2012,Pirates,167
2012,Cardinals,122
2012,Padres,131
2012,Giants,110
2013,Angels,273
2013,Orioles,555
2013,Red Sox,503
2013,White Sox,102
2013,Indians,308
2013,Tigers,188
2013,Royals,410
2013,Twins,137
2013,Yankees,454
2013,Athletics,312
2013,Mariners,319
2013,Rays,542
2013,Rangers,333
2013,Blue Jays,252
2013,Diamondbacks,187
2013,Braves,157
2013,Cubs,460
2013,Reds,282
2013,Rockies,177
2013,Marlins,186
2013,Astros,489
2013,Dodgers,94
2013,Brewers,551
2013,Nationals,75
2013,Mets,199
2013,Phillies,96
2013,Pirates,461
2013,Cardinals,145
2013,Padres,128
2013,Giants,170
2014,Angels,395
2014,Orioles,751
2014,Red Sox,560
2014,White Sox,588
2014,Indians,559
2014,Tigers,262
2014,Royals,596
2014,Twins,551
2014,Yankees,824
2014,Athletics,537
2014,Mariners,453
2014,Rays,883
2014,Rangers,558
2014,Blue Jays,752
2014,Diamondbacks,304
2014,Braves,254
2014,Cubs,385
2014,Reds,262
2014,Rockies,191
2014,Marlins,271
2014,Astros,1408
2014,Dodgers,246
2014,Brewers,634
2014,Nationals,243
2014,Mets,266
2014,Phillies,363
2014,Pirates,721
2014,Cardinals,433
2014,Padres,298
2014,Giants,424
2015,Angels,651
2015,Orioles,1036
2015,Red Sox,707
2015,White Sox,616
2015,Indians,776
2015,Tigers,853
2015,Royals,747
2015,Twins,989
2015,Yankees,1133
2015,Athletics,909
2015,Mariners,537
2015,Rays,1631
2015,Rangers,801
2015,Blue Jays,1064
2015,Diamondbacks,802
2015,Braves,470
2015,Cubs,593
2015,Reds,648
2015,Rockies,1252
2015,Marlins,521
2015,Astros,1697
2015,Dodgers,495
2015,Brewers,678
2015,Nationals,416
2015,Mets,506
2015,Phillies,583
2015,Pirates,1264
2015,Cardinals,552
2015,Padres,776
2015,Giants,783
2016,Angels,651
2016,Orioles,1036
2016,Red Sox,707
2016,White Sox,616
2016,Indians,776
2016,Tigers,853
2016,Royals,747
2016,Twins,989
2016,Yankees,1133
2016,Athletics,909
2016,Mariners,537
2016,Rays,1631
2016,Rangers,801
2016,Blue Jays,1064
2016,Diamondbacks,802
2016,Braves,470
2016,Cubs,593
2016,Reds,648
2016,Rockies,1252
2016,Marlins,521
2016,Astros,1697
2016,Dodgers,495
2016,Brewers,678
2016,Nationals,416
2016,Mets,506
2016,Phillies,583
2016,Pirates,1264
2016,Cardinals,552
2016,Padres,776
2016,Giants,783
2017,Angels,1173
2017,Orioles,1109
2017,Red Sox,867
2017,White Sox,1703
2017,Indians,882
2017,Tigers,757
2017,Royals,895
2017,Twins,1134
2017,Yankees,1395
2017,Athletics,928
2017,Mariners,1716
2017,Rays,1707
2017,Rangers,1088
2017,Blue Jays,1086
2017,Diamondbacks,923
2017,Braves,980
2017,Cubs,526
2017,Reds,1235
2017,Rockies,894
2017,Marlins,1158
2017,Astros,1754
2017,Dodgers,1032
2017,Brewers,1816
2017,Nationals,908
2017,Mets,692
2017,Phillies,822
2017,Pirates,1584
2017,Cardinals,579
2017,Giants,927
2017,Padres,948
